id_siniestro,id_poliza,fecha_siniestro,tipo_siniestro,coste_siniestro
100,6168,2023-09-17,Accidente de tráfico,1512.0
101,10649,2024-01-16,Robo,2598.1
102,14762,2023-04-14,Daños por agua,900.59
103,3267,2025-08-29,Robo,1124.79
104,14972,2023-10-31,Accidente de tráfico,813.75
105,3283,2024-09-16,Accidente de tráfico,2407.41
106,6899,2023-06-13,Robo,2729.28
107,4326,2023-09-12,Responsabilidad civil,921.42
108,7828,2022-12-25,Accidente de tráfico,2075.29
109,8833,2025-10-20,Robo,535.86
110,5529,2024-10-03,Responsabilidad civil,67.41
111,603,2023-10-10,Accidente de tráfico,453.57
112,705,2024-02-26,Incendio,106.24
113,992,2024-11-28,Accidente de tráfico,1560.12
114,14800,2023-03-28,Responsabilidad civil,1570.39
115,1681,2025-07-11,Responsabilidad civil,518.21
116,147,2023-09-19,Otros,1182.42
117,4831,2024-06-22,Accidente de tráfico,1778.6
118,14009,2023-02-08,Responsabilidad civil,216.14
119,11489,2024-12-11,Accidente de tráfico,1231.18
120,9300,2024-09-14,Robo,300.29
121,8545,2024-10-18,Accidente de tráfico,2412.07
122,10798,2023-11-23,Accidente de tráfico,1775.54
123,10865,2025-04-09,Robo,643.35
124,3739,2024-12-05,Robo,364.5
125,1602,2024-12-31,Accidente de tráfico,2499.21
126,4079,2025-05-02,Robo,2181.81
127,3758,2024-05-05,Robo,1451.1
128,2417,2023-09-14,Incendio,452.94
129,7790,2025-09-19,Accidente de tráfico,469.31
130,3372,2024-05-11,Daños por agua,1494.5
131,13059,2023-07-05,Accidente de tráfico,2657.79
132,11207,2024-03-06,Accidente de tráfico,887.69
133,8623,2025-01-30,Robo,1549.91
134,10894,2024-03-03,Robo,1179.98
135,2549,2023-11-12,Accidente de tráfico,2211.44
136,8474,2024-03-02,Robo,1945.58
137,7678,2024-03-10,Accidente de tráfico,1636.92
138,7750,2025-07-08,Robo,536.88
139,8386,2025-06-11,Accidente de tráfico,828.8
140,13870,2025-03-29,Robo,262.01
141,14629,2024-04-06,Robo,1241.96
142,14883,2023-04-29,Daños por agua,1749.52
143,6781,2024-02-26,Daños por agua,585.33
144,56,2023-12-18,Daños por agua,940.03
145,7378,2023-04-06,Accidente de tráfico,1805.38
146,4718,2024-01-20,Daños por agua,1433.1
147,371,2023-11-14,Accidente de tráfico,1753.19
148,8565,2024-08-09,Accidente de tráfico,1206.79
149,924,2023-01-16,Robo,1382.43
150,11473,2024-01-16,Accidente de tráfico,578.31
151,4704,2023-11-01,Robo,1830.73
152,13205,2025-02-21,Accidente de tráfico,124.04
153,11771,2024-11-28,Accidente de tráfico,1165.69
154,1775,2023-05-10,Daños por agua,1561.12
155,9018,2024-01-13,Robo,1441.34
156,12471,2023-10-25,Daños por agua,329.2
157,8262,2022-10-28,Accidente de tráfico,1420.66
158,8428,2025-02-10,Accidente de tráfico,1315.56
159,7826,2024-12-29,Robo,2325.82
160,11865,2024-01-24,Incendio,1481.86
161,11455,2025-03-10,Accidente de tráfico,2830.67
162,13961,2024-07-14,Accidente de tráfico,1206.0
163,1855,2022-12-14,Daños por agua,1315.66
164,6741,2024-08-17,Responsabilidad civil,2496.88
165,9110,2023-12-07,Accidente de tráfico,1992.6
166,6678,2025-07-31,Daños por agua,1040.05
167,12154,2023-04-27,Otros,986.84
168,9044,2024-01-31,Accidente de tráfico,935.46
169,6967,2024-02-03,Robo,553.04
170,6596,2023-06-21,Accidente de tráfico,1877.15
171,7662,2024-05-10,Accidente de tráfico,1647.61
172,4018,2025-10-01,Robo,339.81
173,13758,2023-01-10,Incendio,306.17
174,14757,2025-03-25,Accidente de tráfico,897.84
175,6554,2025-09-11,Responsabilidad civil,1602.53
176,11414,2024-06-08,Incendio,1247.85
177,2904,2025-04-11,Otros,1193.43
178,2077,2023-08-19,Accidente de tráfico,270.11
179,3569,2023-11-14,Otros,950.12
180,2701,2024-12-04,Otros,1649.27
181,11669,2024-03-23,Robo,1888.86
182,599,2025-10-15,Incendio,1431.32
183,12236,2024-11-17,Responsabilidad civil,50.22
184,13940,2025-04-03,Robo,320.71
185,6143,2025-09-19,Accidente de tráfico,875.07
186,8983,2023-01-08,Accidente de tráfico,1385.74
187,2427,2023-03-30,Daños por agua,2092.07
188,8528,2024-03-15,Daños por agua,1029.24
189,1250,2024-04-29,Accidente de tráfico,988.03
190,10166,2022-11-19,Accidente de tráfico,1311.97
191,3679,2025-01-24,Robo,2645.36
192,13095,2025-02-18,Daños por agua,2599.71
193,4047,2022-10-26,Robo,2609.87
194,2014,2024-08-19,Responsabilidad civil,1628.4
195,6239,2023-09-03,Robo,1082.45
196,2599,2025-04-01,Robo,1024.96
197,10373,2024-04-04,Accidente de tráfico,162.42
198,13932,2025-01-10,Accidente de tráfico,637.14
199,13570,2024-01-15,Accidente de tráfico,1688.38
200,7663,2024-03-24,Accidente de tráfico,1207.23
201,14046,2023-12-20,Robo,2017.72
202,4738,2024-04-16,Robo,522.4
203,7763,2022-11-04,Accidente de tráfico,949.2
204,4923,2025-06-25,Accidente de tráfico,700.02
205,8099,2024-03-06,Otros,19.91
206,6615,2025-08-15,Robo,1423.62
207,12619,2025-07-23,Incendio,783.21
208,9409,2023-08-02,Accidente de tráfico,1611.28
209,9042,2025-05-18,Responsabilidad civil,879.41
210,13550,2024-06-20,Accidente de tráfico,811.93
211,3992,2024-04-11,Robo,2338.67
212,11215,2023-10-31,Accidente de tráfico,950.86
213,8627,2024-11-12,Accidente de tráfico,3.09
214,756,2023-01-04,Responsabilidad civil,1910.85
215,9981,2023-11-23,Robo,399.47
216,13851,2024-10-30,Accidente de tráfico,838.66
217,1276,2024-07-24,Accidente de tráfico,1034.01
218,3079,2024-12-13,Accidente de tráfico,952.85
219,9089,2023-01-28,Accidente de tráfico,1864.26
220,3155,2025-05-26,Daños por agua,1435.41
221,11795,2025-03-01,Robo,1029.27
222,5600,2024-04-27,Incendio,1070.51
223,9418,2024-07-01,Accidente de tráfico,2191.88
224,12676,2025-02-22,Daños por agua,1917.91
225,12265,2023-10-25,Accidente de tráfico,1245.01
226,9237,2024-02-22,Daños por agua,1420.37
227,14116,2023-01-17,Robo,877.85
228,7875,2024-04-29,Accidente de tráfico,367.42
229,12201,2023-03-25,Otros,934.17
230,5039,2025-01-18,Incendio,1956.97
231,7788,2023-10-28,Robo,1253.1
232,12891,2023-12-28,Robo,856.59
233,9521,2024-02-15,Daños por agua,1044.33
234,10377,2022-12-10,Responsabilidad civil,1538.09
235,2140,2023-08-04,Accidente de tráfico,2726.15
236,7089,2024-10-05,Robo,234.86
237,13536,2024-05-09,Robo,1364.12
238,14887,2024-05-10,Daños por agua,1317.38
239,8725,2023-12-05,Responsabilidad civil,1789.62
240,13612,2025-07-06,Incendio,599.81
241,9781,2024-11-24,Accidente de tráfico,127.05
242,10809,2025-09-09,Responsabilidad civil,2218.6
243,7762,2023-01-15,Robo,2213.16
244,7362,2023-05-06,Accidente de tráfico,950.93
245,361,2023-12-27,Robo,133.68
246,7837,2023-07-27,Daños por agua,1432.58
247,2592,2025-04-27,Accidente de tráfico,1308.29
248,14990,2024-04-04,Accidente de tráfico,1190.8
249,5895,2022-11-25,Robo,1164.77
250,5061,2023-11-02,Robo,792.95
251,8381,2025-06-29,Daños por agua,1445.75
252,3074,2023-09-02,Daños por agua,2655.45
253,13695,2024-08-19,Robo,388.07
254,405,2025-04-06,Responsabilidad civil,1313.44
255,13995,2023-11-09,Accidente de tráfico,939.79
256,6843,2024-06-07,Daños por agua,1080.38
257,8084,2025-02-15,Accidente de tráfico,1456.58
258,10207,2023-10-09,Accidente de tráfico,415.58
259,13506,2024-02-01,Daños por agua,934.06
260,9620,2022-12-19,Daños por agua,332.23
261,11882,2023-06-22,Robo,1503.54
262,2831,2023-04-02,Otros,186.82
263,10983,2023-05-04,Robo,1188.78
264,13361,2022-12-08,Incendio,1146.54
265,3680,2023-12-16,Accidente de tráfico,1087.71
266,11223,2024-04-14,Otros,1864.84
267,7925,2024-01-31,Accidente de tráfico,2082.18
268,11115,2025-03-29,Robo,1948.27
269,2045,2025-01-09,Daños por agua,1144.05
270,9033,2022-12-27,Daños por agua,178.32
271,13087,2025-06-26,Robo,976.02
272,3479,2025-06-24,Responsabilidad civil,579.6
273,13861,2025-07-01,Daños por agua,2033.96
274,7472,2024-01-14,Daños por agua,2439.91
275,6295,2024-06-20,Robo,1599.24
276,1698,2022-12-04,Robo,750.26
277,12434,2024-06-29,Accidente de tráfico,1830.54
278,4597,2024-05-05,Robo,1725.01
279,5232,2023-08-12,Accidente de tráfico,1833.67
280,10185,2024-02-12,Responsabilidad civil,1435.06
281,5918,2025-07-06,Daños por agua,773.69
282,5212,2025-04-12,Incendio,1949.04
283,1691,2023-09-20,Accidente de tráfico,358.26
284,3479,2022-11-25,Robo,91.67
285,14882,2025-06-14,Accidente de tráfico,591.49
286,3445,2024-08-12,Incendio,307.36
287,12715,2024-07-24,Accidente de tráfico,427.07
288,7457,2024-09-02,Incendio,470.73
289,10973,2023-08-27,Incendio,2070.22
290,8657,2024-02-18,Otros,1285.21
291,8608,2025-05-19,Robo,2544.29
292,3067,2023-05-06,Accidente de tráfico,1131.75
293,4744,2024-07-31,Accidente de tráfico,932.48
294,5976,2024-05-31,Robo,1346.44
295,3827,2023-01-16,Robo,281.99
296,12303,2024-05-27,Robo,2132.36
297,10055,2024-03-10,Otros,1285.14
298,12996,2024-11-28,Robo,516.85
299,12244,2024-09-22,Accidente de tráfico,61.56
300,272,2023-08-16,Responsabilidad civil,1227.32
301,2685,2025-04-05,Otros,1306.76
302,9057,2022-12-26,Incendio,1151.97
303,2590,2023-12-04,Otros,822.37
304,13657,2024-05-04,Otros,1802.21
305,8231,2024-03-30,Accidente de tráfico,977.99
306,852,2025-07-11,Responsabilidad civil,1596.57
307,2304,2024-01-27,Robo,926.85
308,7048,2023-08-19,Responsabilidad civil,1901.29
309,4056,2024-08-01,Daños por agua,852.6
310,3446,2023-08-10,Robo,1150.84
311,8247,2023-10-04,Accidente de tráfico,1199.26
312,5558,2023-08-20,Incendio,591.92
313,12262,2023-02-27,Accidente de tráfico,913.7
314,9580,2025-05-14,Daños por agua,1837.22
315,2722,2025-06-24,Accidente de tráfico,3270.08
316,12804,2023-09-18,Robo,1218.41
317,12957,2023-02-16,Responsabilidad civil,1120.16
318,8067,2025-10-13,Otros,1120.97
319,2464,2023-06-23,Accidente de tráfico,1586.98
320,10394,2025-09-24,Accidente de tráfico,2063.98
321,4645,2023-02-17,Incendio,662.04
322,12428,2023-01-05,Otros,174.33
323,5237,2025-03-05,Accidente de tráfico,368.88
324,14153,2023-05-06,Robo,863.88
325,14225,2023-04-25,Daños por agua,1760.71
326,11302,2025-09-18,Accidente de tráfico,300.89
327,3782,2022-12-27,Accidente de tráfico,356.4
328,2456,2023-09-26,Daños por agua,2530.05
329,1128,2025-02-14,Robo,699.91
330,13606,2024-11-22,Accidente de tráfico,1826.98
331,2781,2024-10-26,Robo,1037.44
332,622,2023-08-17,Accidente de tráfico,1726.33
333,14929,2025-02-22,Otros,321.48
334,1987,2022-12-04,Robo,89.12
335,11256,2022-12-16,Daños por agua,2273.68
336,535,2024-09-17,Daños por agua,155.26
337,11251,2024-12-08,Daños por agua,685.48
338,2378,2025-03-11,Daños por agua,1901.41
339,4517,2025-05-16,Daños por agua,1129.41
340,2629,2025-01-04,Robo,1565.84
341,5809,2023-03-20,Responsabilidad civil,2548.95
342,3705,2025-03-30,Accidente de tráfico,1605.3
343,12782,2025-10-02,Daños por agua,1276.74
344,14737,2024-07-11,Accidente de tráfico,233.7
345,6412,2025-02-28,Daños por agua,1736.11
346,12328,2024-09-27,Daños por agua,92.99
347,6864,2022-11-10,Accidente de tráfico,1051.22
348,7309,2025-10-06,Responsabilidad civil,577.21
349,2724,2024-08-01,Daños por agua,984.98
350,14356,2024-06-14,Robo,464.48
351,1172,2024-08-22,Robo,1643.73
352,4377,2024-12-24,Accidente de tráfico,804.03
353,864,2025-08-16,Otros,2229.8
354,12187,2024-12-20,Accidente de tráfico,661.27
355,3291,2024-01-31,Daños por agua,1667.46
356,97,2023-08-31,Incendio,1486.9
357,8267,2023-08-25,Daños por agua,1402.63
358,402,2023-03-11,Robo,1160.82
359,9221,2024-08-28,Robo,284.71
360,8612,2024-03-05,Accidente de tráfico,1346.78
361,4634,2022-12-14,Robo,2149.5
362,7940,2025-05-10,Incendio,1633.27
363,458,2025-02-14,Robo,192.77
364,1224,2023-09-22,Robo,1640.76
365,7910,2023-10-09,Responsabilidad civil,229.39
366,4529,2025-01-29,Robo,1686.91
367,3423,2023-02-04,Accidente de tráfico,2193.82
368,619,2025-08-21,Daños por agua,517.63
369,5791,2023-07-31,Daños por agua,1307.67
370,14340,2024-11-24,Robo,1636.97
371,12585,2023-05-30,Accidente de tráfico,2549.88
372,11185,2024-01-23,Responsabilidad civil,1777.98
373,928,2025-05-23,Daños por agua,1772.47
374,3897,2023-01-02,Responsabilidad civil,2104.09
375,10690,2023-04-10,Robo,3064.77
376,11091,2023-12-17,Otros,24.28
377,4589,2023-01-17,Accidente de tráfico,2994.71
378,7230,2024-05-06,Daños por agua,1701.38
379,14562,2024-02-10,Incendio,1192.39
380,8667,2023-08-30,Daños por agua,1960.28
381,14568,2025-05-07,Accidente de tráfico,1508.09
382,2264,2023-10-17,Accidente de tráfico,1177.86
383,12374,2024-01-02,Robo,1061.16
384,10429,2024-06-01,Incendio,1008.3
385,10840,2025-06-16,Robo,1185.05
386,10365,2025-01-04,Accidente de tráfico,1068.5
387,4568,2025-05-16,Robo,1549.34
388,1556,2025-01-11,Daños por agua,316.09
389,14169,2023-12-10,Otros,240.85
390,529,2024-11-06,Otros,545.4
391,1964,2025-08-09,Robo,961.48
392,7980,2023-11-09,Incendio,378.42
393,7330,2025-01-02,Otros,1271.69
394,9415,2024-01-05,Accidente de tráfico,1630.34
395,14816,2023-11-14,Robo,476.56
396,14751,2025-05-02,Robo,97.65
397,8940,2024-02-28,Incendio,1509.57
398,6475,2023-09-23,Robo,1167.16
399,11573,2024-11-19,Robo,548.08
400,4084,2023-07-28,Robo,854.67
401,3587,2024-05-17,Daños por agua,921.54
402,2311,2025-01-05,Accidente de tráfico,1827.73
403,6702,2022-11-13,Robo,629.96
404,9248,2023-03-14,Accidente de tráfico,1509.92
405,8223,2024-03-30,Robo,1523.1
406,1265,2023-10-20,Daños por agua,807.25
407,3043,2025-08-24,Accidente de tráfico,769.07
408,9718,2024-05-19,Robo,1559.16
409,592,2025-01-11,Responsabilidad civil,2180.95
410,3325,2024-01-05,Robo,2093.79
411,6418,2025-03-30,Otros,676.13
412,11409,2024-07-27,Robo,1031.37
413,14837,2023-06-19,Robo,1572.1
414,337,2022-11-21,Accidente de tráfico,1786.62
415,8954,2022-12-18,Incendio,2268.5
416,8320,2023-09-07,Accidente de tráfico,1647.16
417,8153,2023-08-04,Otros,1087.75
418,6476,2023-10-08,Incendio,1765.88
419,5483,2022-12-18,Accidente de tráfico,104.5
420,5071,2023-07-04,Responsabilidad civil,1739.8
421,8502,2022-11-10,Responsabilidad civil,1758.67
422,5832,2023-04-16,Robo,1351.47
423,3743,2025-05-26,Accidente de tráfico,898.65
424,5591,2023-05-23,Incendio,453.1
425,2703,2024-06-05,Robo,1937.98
426,4232,2025-08-09,Incendio,1853.75
427,4555,2025-02-03,Robo,315.24
428,2407,2024-07-05,Robo,2031.29
429,14161,2023-01-27,Accidente de tráfico,278.52
430,8131,2023-04-14,Robo,1538.79
431,1202,2024-11-26,Robo,1682.54
432,7814,2023-10-15,Daños por agua,1485.53
433,10297,2024-12-21,Accidente de tráfico,183.87
434,10753,2024-04-28,Robo,855.65
435,11315,2024-03-10,Otros,2029.69
436,10763,2025-09-30,Otros,948.29
437,9985,2024-05-12,Otros,415.44
438,14890,2024-05-11,Responsabilidad civil,1938.91
439,8210,2024-04-26,Robo,700.59
440,10798,2023-01-09,Accidente de tráfico,1323.88
441,9731,2024-04-13,Daños por agua,1747.56
442,1743,2023-03-21,Daños por agua,1643.87
443,10756,2025-06-23,Robo,1169.04
444,11497,2025-02-15,Robo,335.8
445,10528,2023-03-16,Daños por agua,1159.3
446,328,2025-10-22,Accidente de tráfico,262.11
447,2599,2024-10-18,Daños por agua,342.8
448,13504,2025-09-09,Incendio,1477.31
449,1214,2024-06-01,Otros,2904.22
450,2697,2023-03-16,Accidente de tráfico,1300.56
451,13289,2024-02-04,Otros,2848.19
452,12290,2023-06-29,Accidente de tráfico,532.18
453,11956,2024-06-15,Robo,395.44
454,7087,2024-08-06,Incendio,2030.12
455,1911,2023-05-28,Otros,1431.47
456,14308,2024-01-27,Otros,1273.88
457,6623,2024-02-11,Robo,508.41
458,2119,2023-10-12,Otros,706.7
459,14817,2024-07-25,Robo,1514.07
460,1741,2024-12-01,Incendio,35.41
461,9369,2024-11-04,Daños por agua,1140.44
462,7190,2022-10-29,Accidente de tráfico,3629.87
463,2192,2023-11-28,Robo,91.1
464,5374,2025-06-28,Robo,997.42
465,4625,2025-10-14,Daños por agua,616.44
466,9936,2023-03-13,Otros,1389.45
467,1770,2023-03-08,Accidente de tráfico,1612.7
468,5015,2022-11-18,Accidente de tráfico,1831.09
469,2766,2024-12-11,Robo,1905.51
470,12773,2022-12-26,Robo,1177.66
471,5286,2023-01-15,Accidente de tráfico,576.83
472,5984,2025-07-02,Daños por agua,400.13
473,13397,2023-07-29,Incendio,593.46
474,14894,2025-07-21,Otros,373.25
475,5972,2024-06-26,Accidente de tráfico,972.3
476,11198,2023-12-27,Responsabilidad civil,1312.64
477,14035,2025-06-10,Robo,1794.28
478,4901,2023-04-03,Accidente de tráfico,1137.73
479,8071,2023-09-05,Responsabilidad civil,1233.49
480,5499,2024-03-07,Responsabilidad civil,1071.41
481,5402,2025-08-09,Accidente de tráfico,1299.05
482,3328,2025-04-27,Otros,551.36
483,11333,2024-11-03,Accidente de tráfico,1967.88
484,5525,2023-11-30,Accidente de tráfico,2068.8
485,9075,2025-01-19,Responsabilidad civil,1529.63
486,13670,2025-05-02,Robo,1386.59
487,11554,2024-05-04,Otros,2405.79
488,9118,2024-07-14,Robo,976.5
489,1648,2023-12-12,Accidente de tráfico,688.19
490,12955,2023-05-29,Accidente de tráfico,493.86
491,5512,2024-05-24,Accidente de tráfico,1097.42
492,6889,2023-06-15,Robo,1951.57
493,4278,2024-11-26,Accidente de tráfico,980.15
494,9055,2024-04-03,Responsabilidad civil,1510.1
495,5440,2023-09-23,Accidente de tráfico,238.36
496,3811,2023-03-14,Incendio,699.84
497,915,2024-09-12,Daños por agua,1803.77
498,1589,2024-11-21,Robo,1396.86
499,2143,2025-04-19,Incendio,2314.3
500,8532,2023-02-11,Accidente de tráfico,1357.6
501,1870,2022-11-04,Daños por agua,2568.65
502,5400,2024-05-10,Daños por agua,2590.45
503,9544,2023-10-18,Daños por agua,1451.92
504,7740,2024-09-10,Accidente de tráfico,2867.85
505,5874,2023-07-23,Otros,670.59
506,11642,2024-05-03,Accidente de tráfico,478.21
507,14644,2024-07-23,Accidente de tráfico,2476.28
508,8287,2024-04-11,Daños por agua,982.75
509,11380,2024-06-13,Accidente de tráfico,378.89
510,13667,2023-10-07,Otros,1244.8
511,7798,2023-09-13,Otros,947.71
512,1636,2024-12-04,Otros,1935.12
513,2052,2023-08-28,Responsabilidad civil,2010.83
514,8411,2023-11-28,Accidente de tráfico,1186.53
515,6108,2023-08-18,Otros,1194.7
516,8520,2024-02-14,Accidente de tráfico,1248.11
517,3191,2025-02-20,Accidente de tráfico,1440.49
518,7417,2025-03-02,Robo,1786.92
519,7348,2025-05-26,Responsabilidad civil,1798.32
520,2946,2023-02-17,Robo,1326.26
521,13534,2025-06-10,Incendio,1858.31
522,3826,2023-01-27,Incendio,1799.59
523,2151,2022-12-03,Otros,156.83
524,13855,2022-12-12,Robo,180.74
525,13343,2022-12-02,Robo,703.33
526,4428,2023-07-13,Daños por agua,1512.07
527,7847,2023-11-18,Accidente de tráfico,510.85
528,6743,2023-07-26,Incendio,828.52
529,14077,2022-11-28,Accidente de tráfico,359.34
530,5663,2023-02-14,Accidente de tráfico,509.09
531,12882,2023-05-18,Robo,1995.5
532,10616,2024-09-21,Responsabilidad civil,106.94
533,12051,2024-10-11,Accidente de tráfico,1532.54
534,6782,2024-05-30,Accidente de tráfico,853.08
535,4010,2022-12-07,Responsabilidad civil,1685.16
536,4613,2024-06-20,Accidente de tráfico,1539.95
537,11347,2024-07-04,Accidente de tráfico,1690.17
538,638,2023-05-19,Accidente de tráfico,1121.51
539,4749,2024-05-26,Incendio,395.36
540,5970,2025-08-30,Robo,687.23
541,6496,2025-04-16,Robo,1429.75
542,11605,2024-05-22,Incendio,1023.06
543,14416,2024-10-25,Responsabilidad civil,1143.99
544,14513,2025-02-16,Robo,165.94
545,13060,2024-10-27,Accidente de tráfico,309.65
546,168,2024-01-27,Daños por agua,578.13
547,7646,2024-01-31,Daños por agua,509.06
548,6788,2023-04-15,Accidente de tráfico,411.46
549,12774,2023-03-24,Accidente de tráfico,1012.67
550,14137,2023-05-13,Accidente de tráfico,1160.15
551,10744,2024-12-14,Robo,1783.6
552,8125,2024-02-19,Accidente de tráfico,1194.52
553,1039,2024-12-11,Accidente de tráfico,1571.27
554,12304,2024-01-13,Accidente de tráfico,1773.87
555,11017,2023-07-23,Daños por agua,894.06
556,9279,2023-03-19,Daños por agua,317.36
557,3931,2024-11-14,Robo,957.74
558,4432,2023-07-24,Responsabilidad civil,1857.17
559,10375,2024-11-18,Accidente de tráfico,1003.4
560,649,2023-11-22,Robo,209.03
561,9402,2025-07-01,Robo,592.37
562,13883,2023-06-12,Robo,1032.25
563,9111,2023-02-22,Daños por agua,342.54
564,12033,2025-06-17,Incendio,1347.21
565,6825,2023-11-27,Accidente de tráfico,1304.79
566,14743,2023-01-18,Accidente de tráfico,1502.46
567,5334,2025-08-14,Accidente de tráfico,103.12
568,10606,2024-01-14,Responsabilidad civil,2363.94
569,11901,2024-10-28,Accidente de tráfico,1303.76
570,10386,2025-03-08,Responsabilidad civil,1971.37
571,7231,2025-03-18,Robo,2343.15
572,4280,2025-09-02,Accidente de tráfico,1387.48
573,3465,2023-03-07,Accidente de tráfico,1538.16
574,7174,2023-09-04,Robo,1589.53
575,7869,2024-08-26,Robo,1454.47
576,5476,2024-11-08,Robo,1994.09
577,10210,2023-04-14,Accidente de tráfico,1193.7
578,12677,2024-09-02,Accidente de tráfico,2256.32
579,6698,2023-02-10,Robo,703.61
580,9637,2025-06-30,Accidente de tráfico,1794.68
581,10480,2024-08-03,Accidente de tráfico,2727.28
582,934,2025-01-17,Daños por agua,1804.2
583,4518,2024-01-25,Accidente de tráfico,565.93
584,1403,2025-04-25,Robo,1604.63
585,11383,2025-08-28,Daños por agua,1222.13
586,11735,2024-12-15,Daños por agua,937.62
587,6953,2025-06-27,Accidente de tráfico,527.33
588,7826,2025-03-23,Robo,491.43
589,14016,2025-05-12,Accidente de tráfico,1988.44
