ID_poliza,ID_cliente,Tipo_seguro,Estado,Prima_anual,fecha_inicio,fecha_fin
82,8297,Viaje,Activa,533.28,2024-11-17,2025-07-20
83,3590,Auto,Activa,1860.32,2025-04-26,2025-12-30
84,615,Auto,Cancelada,707.91,2024-08-11,2025-07-01
85,414,Auto,Activa,711.7,2023-08-27,2024-06-01
86,9234,Hogar,Activa,1077.67,2025-04-05,2026-01-29
87,1319,Vida,Pendiente,-331.67,2025-03-23,2026-02-06
88,4430,Auto,Expirada,-62.74,2024-04-30,2024-11-29
89,7103,Auto,Cancelada,-1745.39,2024-04-28,2025-03-17
90,8847,Hogar,Activa,608.51,2021-12-23,2022-09-29
91,6325,Auto,Activa,98.02,2024-07-07,2025-02-26
92,9444,Salud,Activa,-529.77,2022-08-07,2023-03-28
93,1623,Hogar,Pendiente,276.35,2022-04-07,2023-04-12
94,5849,Auto,Activa,1916.15,2025-02-14,2025-12-15
95,6153,Auto,Activa,142.73,2022-10-26,2023-06-22
96,7269,Auto,Activa,297.55,2022-02-08,2022-10-30
97,3736,Vida,Pendiente,1912.52,2022-03-25,2023-01-18
98,1890,Vida,Activa,1276.03,2023-07-25,2024-06-07
99,2251,Auto,Expirada,991.32,2024-10-18,2025-07-11
100,3712,Viaje,Pendiente,1949.36,2023-07-31,2024-03-30
101,8995,Auto,Activa,-779.31,2024-03-25,2025-04-15
102,7420,Hogar,Activa,2154.42,2023-02-08,2023-08-27
103,4444,Vida,Activa,1103.06,2023-08-05,2024-09-02
104,5492,Viaje,Activa,1351.87,2021-11-28,2022-07-19
105,10857,Salud,Activa,766.57,2025-08-07,2026-05-30
106,5663,Hogar,Activa,-707.16,2022-05-25,2023-03-23
107,4708,Auto,Activa,-1721.55,2024-07-09,2025-05-16
108,6013,Vida,Activa,497.38,2022-02-18,2022-12-12
109,7311,Vida,Expirada,-496.82,2022-07-01,2023-04-20
110,2242,Hogar,Activa,-610.34,2025-09-11,2026-06-13
111,2687,Viaje,Expirada,-311.56,2025-07-23,2026-06-12
112,8551,Hogar,Activa,-2426.34,2023-01-19,2023-12-10
113,10495,Auto,Pendiente,-908.34,2025-08-31,2026-08-31
114,5106,Auto,Activa,-1399.91,2023-08-24,2024-06-24
115,7023,Hogar,Expirada,-1112.26,2023-09-20,2024-08-31
116,4675,Hogar,Activa,-712.47,2025-05-05,2025-12-01
117,447,Vida,Activa,-48.85,2023-08-11,2024-05-06
118,9755,Salud,Expirada,606.69,2025-02-11,2025-11-19
119,8096,Auto,Activa,1935.93,2022-11-30,2023-09-15
120,7587,Salud,Activa,-1261.51,2022-06-05,2023-06-01
121,11416,Salud,Cancelada,1268.18,2023-12-19,2024-08-24
122,881,Hogar,Activa,-279.83,2022-04-21,2023-04-28
123,1000,Salud,Activa,-2038.64,2022-06-13,2023-05-27
124,2131,Auto,Activa,-871.91,2024-10-25,2025-09-12
125,2215,Hogar,Activa,836.4,2024-09-23,2025-10-12
126,10035,Vida,Activa,224.18,2024-11-22,2025-07-07
127,703,Auto,Activa,-1820.34,2024-11-27,2025-06-29
128,10752,Auto,Activa,447.84,2023-04-16,2023-11-06
129,4616,Auto,Activa,-994.02,2024-03-22,2025-02-06
130,11030,Salud,Activa,-472.93,2024-01-16,2024-09-14
131,5186,Hogar,Activa,-203.17,2025-06-28,2026-05-25
132,9384,Auto,Activa,181.96,2022-08-16,2023-09-02
133,9774,Salud,Activa,752.22,2023-07-03,2024-03-06
134,6143,Salud,Expirada,407.44,2025-02-13,2026-02-16
135,5642,Auto,Activa,1085.03,2022-06-28,2023-06-25
136,473,Hogar,Activa,536.14,2022-01-13,2022-11-14
137,5746,Auto,Activa,315.18,2023-10-04,2024-10-16
138,8911,Vida,Pendiente,-280.76,2025-04-18,2026-01-12
139,10956,Salud,Pendiente,-641.72,2025-04-03,2026-02-23
140,11616,Auto,Expirada,1304.5,2022-12-14,2023-07-14
141,7875,Hogar,Activa,-478.56,2024-06-17,2025-06-13
142,9089,Vida,Activa,1854.32,2023-12-25,2024-07-17
143,3896,Vida,Activa,1069.96,2025-04-26,2026-04-27
144,3883,Auto,Cancelada,1179.72,2024-03-12,2024-12-20
145,7933,Auto,Pendiente,-618.49,2025-02-23,2025-11-11
146,3543,Hogar,Pendiente,1071.45,2025-05-20,2026-06-20
147,10403,Vida,Expirada,2002.04,2022-12-08,2023-11-05
148,10988,Hogar,Cancelada,1243.12,2024-04-20,2024-12-01
149,7084,Auto,Activa,2303.07,2025-08-25,2026-08-14
150,8186,Hogar,Cancelada,640.7,2024-10-01,2025-10-11
151,8400,Viaje,Expirada,1493.22,2024-11-23,2025-09-04
152,3557,Auto,Expirada,697.38,2023-03-07,2024-01-22
153,813,Auto,Activa,-1290.1,2024-05-12,2025-06-14
154,549,Auto,Activa,1303.59,2022-02-18,2022-09-25
155,1601,Hogar,Activa,-615.25,2025-06-02,2026-04-18
156,7087,Hogar,Activa,-1297.45,2022-07-19,2023-04-04
157,10551,Auto,Cancelada,-230.06,2023-06-20,2024-06-17
158,11938,Hogar,Activa,520.43,2021-10-31,2022-09-23
159,8213,Vida,Cancelada,-441.18,2025-06-25,2026-05-12
160,5914,Hogar,Activa,1264.59,2024-04-11,2025-03-28
161,10254,Vida,Pendiente,-782.16,2022-06-12,2023-01-27
162,10386,Salud,Expirada,520.32,2021-10-25,2022-06-27
163,4952,Hogar,Expirada,-27.62,2022-11-09,2023-08-05
164,9763,Viaje,Cancelada,-15.39,2022-10-08,2023-05-30
165,6390,Auto,Activa,582.35,2022-02-24,2023-03-29
166,573,Auto,Pendiente,927.2,2024-11-22,2025-09-23
167,4462,Vida,Activa,392.89,2025-05-27,2026-06-14
168,2552,Hogar,Activa,993.25,2022-12-02,2023-12-18
169,9063,Auto,Expirada,521.58,2024-12-25,2025-11-05
170,4454,Auto,Activa,2282.91,2023-08-28,2024-07-25
171,6677,Vida,Cancelada,-1855.62,2023-05-21,2024-05-13
172,984,Hogar,Pendiente,-3501.81,2023-08-04,2024-06-25
173,5146,Hogar,Expirada,549.38,2024-09-25,2025-07-19
174,3247,Hogar,Activa,-1306.49,2023-04-27,2024-03-27
175,1838,Auto,Activa,267.26,2023-12-03,2024-07-09
176,5620,Auto,Activa,336.39,2024-11-09,2025-06-07
177,10599,Auto,Activa,-1518.55,2025-08-25,2026-08-16
178,3090,Auto,Cancelada,553.92,2025-07-10,2026-02-22
179,3497,Salud,Cancelada,747.0,2022-04-29,2022-12-02
180,11480,Hogar,Activa,-408.75,2025-01-16,2025-09-28
181,8428,Auto,Pendiente,1441.52,2023-08-07,2024-04-10
182,4956,Vida,Activa,-1453.89,2023-06-23,2024-06-03
183,2324,Vida,Activa,-192.61,2023-04-28,2023-12-28
184,6013,Vida,Activa,956.56,2023-11-26,2024-12-22
185,615,Hogar,Pendiente,1036.26,2025-06-07,2026-03-09
186,10709,Auto,Activa,730.43,2025-06-22,2026-06-20
187,3314,Auto,Activa,-229.23,2025-09-21,2026-06-15
188,7166,Auto,Activa,-2435.14,2023-12-29,2024-12-06
189,7282,Auto,Activa,-702.18,2024-07-02,2025-02-10
190,10916,Auto,Expirada,717.89,2022-03-23,2023-04-03
191,9105,Hogar,Expirada,1400.51,2022-09-17,2023-09-12
192,6443,Salud,Pendiente,1221.79,2021-11-29,2022-09-05
193,4678,Viaje,Expirada,1663.53,2023-01-11,2023-10-04
194,5352,Vida,Activa,2106.3,2024-04-04,2025-03-15
195,3554,Auto,Cancelada,167.06,2024-06-19,2025-05-09
196,3512,Salud,Activa,344.67,2023-04-14,2023-12-25
197,3030,Viaje,Activa,-324.97,2025-06-05,2026-05-12
198,266,Hogar,Activa,-558.68,2022-01-22,2023-02-02
199,6605,Hogar,Expirada,-785.57,2023-02-08,2023-11-28
200,5092,Auto,Pendiente,-577.64,2022-10-25,2023-08-09
201,3617,Salud,Activa,164.07,2023-12-12,2025-01-03
202,9090,Auto,Activa,1221.53,2024-03-28,2024-10-21
203,848,Auto,Activa,418.52,2024-09-08,2025-06-24
204,7976,Hogar,Pendiente,85.82,2025-01-07,2025-08-04
205,8923,Auto,Cancelada,39.31,2023-07-02,2024-01-27
206,6958,Hogar,Activa,-457.03,2023-01-19,2023-09-21
207,911,Hogar,Activa,-258.13,2024-07-29,2025-04-05
208,5962,Vida,Pendiente,-1308.45,2022-03-30,2023-02-15
209,11750,Vida,Activa,-95.48,2023-07-05,2024-06-10
210,7679,Vida,Activa,-85.58,2022-12-19,2023-09-12
211,11483,Hogar,Activa,-500.12,2023-04-24,2023-12-09
212,4241,Auto,Activa,-272.42,2021-12-25,2022-11-01
213,7766,Salud,Activa,1604.8,2024-01-23,2024-09-02
214,10215,Vida,Expirada,-83.41,2023-06-16,2024-05-10
215,2062,Vida,Pendiente,-1753.35,2022-06-05,2023-04-24
216,8817,Salud,Activa,652.83,2025-07-16,2026-06-26
217,6891,Viaje,Cancelada,1275.65,2024-11-22,2025-06-25
218,4508,Viaje,Activa,1832.5,2024-10-26,2025-08-15
219,5881,Auto,Activa,-1660.65,2024-03-18,2025-02-18
220,5917,Salud,Expirada,1204.17,2025-07-19,2026-03-23
221,7361,Viaje,Activa,248.71,2023-03-10,2023-12-02
222,8045,Vida,Expirada,1124.79,2022-08-16,2023-09-12
223,7222,Vida,Activa,-1178.72,2025-03-11,2025-12-24
224,7369,Salud,Pendiente,2084.14,2025-08-03,2026-07-25
225,9992,Auto,Activa,-636.93,2022-05-15,2023-05-31
226,8580,Auto,Expirada,-615.5,2025-01-31,2025-11-15
227,5845,Hogar,Activa,-6.69,2022-05-10,2023-03-03
228,7493,Salud,Activa,822.33,2025-06-01,2026-04-29
229,10944,Auto,Activa,-108.23,2022-10-11,2023-08-26
230,11834,Hogar,Activa,1196.71,2021-11-29,2022-09-10
231,2089,Vida,Activa,-290.37,2023-10-27,2024-06-01
232,4602,Vida,Activa,44.46,2022-06-11,2023-02-16
233,11817,Vida,Activa,-973.77,2022-12-20,2023-10-23
234,11750,Auto,Cancelada,-33.87,2025-08-12,2026-07-27
235,4311,Auto,Activa,2345.76,2024-11-28,2025-10-29
236,4854,Vida,Activa,873.18,2024-03-01,2025-02-27
237,9844,Vida,Activa,3407.46,2025-09-19,2026-10-14
238,10199,Auto,Expirada,1548.23,2023-11-23,2024-11-03
239,4482,Hogar,Expirada,432.47,2023-06-15,2024-06-24
240,195,Hogar,Activa,-1038.7,2022-11-24,2023-08-09
241,5372,Hogar,Activa,1395.29,2022-03-20,2022-11-03
242,11380,Vida,Cancelada,-755.34,2025-09-18,2026-07-07
243,3971,Hogar,Cancelada,-998.39,2022-08-10,2023-07-02
244,11488,Hogar,Activa,-77.17,2023-07-28,2024-05-02
245,7242,Auto,Activa,-712.22,2022-03-27,2023-01-24
246,11916,Auto,Activa,1351.89,2025-08-11,2026-09-01
247,4094,Salud,Activa,-524.38,2022-09-27,2023-08-10
248,6316,Vida,Activa,1450.64,2024-08-30,2025-04-19
249,3070,Auto,Activa,398.57,2025-07-01,2026-05-01
250,6584,Auto,Expirada,-174.86,2024-03-26,2025-04-15
251,9364,Hogar,Activa,-48.11,2023-05-13,2024-02-21
252,5309,Auto,Activa,-393.74,2025-04-12,2025-12-28
253,5033,Auto,Cancelada,846.07,2025-05-21,2026-03-15
254,11916,Hogar,Activa,433.18,2025-02-16,2025-10-23
255,521,Auto,Activa,-959.24,2023-05-11,2024-01-03
256,7449,Vida,Activa,-759.62,2023-11-25,2024-10-14
257,237,Viaje,Cancelada,-949.62,2022-11-19,2023-10-11
258,4973,Hogar,Expirada,877.18,2023-03-07,2023-11-07
259,7565,Vida,Activa,1601.82,2024-02-17,2024-09-06
260,3213,Viaje,Expirada,1293.47,2023-07-03,2024-02-09
261,7815,Auto,Expirada,524.41,2022-04-27,2023-03-17
262,1676,Salud,Pendiente,1354.0,2023-12-16,2024-07-19
263,11479,Hogar,Pendiente,331.05,2024-12-26,2025-09-14
264,10523,Auto,Activa,606.35,2021-11-14,2022-06-09
265,8924,Auto,Pendiente,-403.13,2024-09-27,2025-07-23
266,3487,Vida,Activa,-396.74,2023-03-10,2024-04-06
267,64,Salud,Cancelada,232.85,2025-06-14,2026-03-24
268,4408,Auto,Cancelada,1793.53,2023-12-16,2024-10-18
269,6946,Hogar,Expirada,1680.7,2022-08-31,2023-06-29
270,3852,Auto,Expirada,696.52,2024-04-07,2025-01-09
271,5700,Auto,Activa,-205.98,2022-11-10,2023-08-05
272,10148,Auto,Expirada,-842.99,2023-02-22,2024-03-25
273,3011,Salud,Activa,595.89,2025-07-30,2026-07-18
274,11357,Auto,Activa,2995.89,2021-12-20,2022-08-07
275,10353,Hogar,Activa,-675.43,2024-01-07,2025-01-18
276,10309,Auto,Activa,-144.42,2022-09-30,2023-10-22
277,11839,Hogar,Activa,985.55,2023-05-21,2024-03-21
278,10595,Hogar,Activa,1753.71,2022-12-20,2023-08-05
279,10380,Auto,Activa,837.64,2024-07-05,2025-03-18
280,3895,Auto,Expirada,-37.35,2025-04-13,2026-03-07
281,559,Auto,Activa,-590.16,2023-01-01,2023-12-01
282,6612,Auto,Pendiente,1407.3,2025-05-22,2026-05-14
283,5849,Auto,Activa,-1097.34,2022-05-31,2023-06-13
284,4448,Viaje,Activa,-2481.91,2024-09-08,2025-05-15
285,10868,Salud,Expirada,1862.52,2024-07-13,2025-06-10
286,707,Hogar,Activa,1059.47,2023-10-31,2024-11-23
287,2414,Auto,Pendiente,-1416.46,2024-01-02,2024-07-27
288,9662,Auto,Activa,853.52,2024-01-26,2024-09-11
289,8567,Hogar,Expirada,-366.72,2023-04-26,2023-12-20
290,5367,Auto,Expirada,-1230.78,2024-03-20,2024-11-30
291,2561,Vida,Activa,364.07,2024-02-19,2024-09-16
292,11137,Hogar,Pendiente,-707.68,2023-12-26,2024-12-11
293,6722,Viaje,Activa,-612.89,2022-05-07,2023-02-09
294,7412,Auto,Pendiente,-973.72,2024-04-27,2025-01-17
295,82,Auto,Activa,316.8,2022-07-19,2023-04-26
296,4202,Hogar,Activa,1215.22,2021-11-17,2022-12-10
297,11370,Viaje,Pendiente,-894.08,2023-08-29,2024-07-10
298,6637,Salud,Activa,554.36,2024-06-01,2025-03-19
299,11202,Auto,Activa,525.48,2023-06-12,2024-02-07
300,10566,Hogar,Expirada,-1167.39,2023-05-27,2024-05-25
301,10947,Hogar,Activa,187.96,2023-06-08,2024-02-02
302,4686,Vida,Activa,971.89,2024-06-03,2025-05-19
303,6175,Auto,Activa,1241.51,2022-08-25,2023-06-04
304,478,Auto,Cancelada,-0.83,2022-07-28,2023-04-02
305,10889,Auto,Expirada,-971.56,2023-05-23,2024-04-16
306,6721,Auto,Activa,267.93,2024-08-21,2025-08-05
307,1309,Auto,Pendiente,410.63,2025-09-15,2026-06-09
308,10457,Hogar,Activa,-677.6,2024-05-10,2025-03-31
309,1063,Hogar,Expirada,-1651.06,2023-07-31,2024-06-29
310,2956,Salud,Expirada,902.46,2025-04-05,2026-04-01
311,5154,Vida,Activa,358.82,2022-06-02,2023-06-18
312,748,Hogar,Pendiente,-1069.16,2023-10-07,2024-07-25
313,5052,Auto,Activa,1752.09,2023-09-01,2024-07-14
314,6202,Vida,Pendiente,494.48,2024-09-28,2025-04-20
315,988,Salud,Activa,-1505.79,2022-07-05,2023-06-27
316,11451,Hogar,Activa,678.24,2022-05-28,2023-06-23
317,126,Hogar,Activa,1469.07,2022-11-01,2023-11-13
318,2596,Vida,Pendiente,-194.58,2023-07-30,2024-07-14
319,800,Hogar,Activa,1965.82,2024-02-09,2024-10-30
320,3899,Vida,Activa,-28.19,2022-10-26,2023-11-19
321,5623,Auto,Cancelada,1224.02,2022-03-02,2023-03-22
322,3802,Hogar,Activa,-2144.11,2025-03-30,2025-11-20
323,1462,Auto,Activa,87.17,2022-07-22,2023-07-26
324,6214,Auto,Activa,1375.76,2023-10-25,2024-08-15
325,34,Salud,Expirada,-1869.4,2023-04-06,2024-01-01
326,3755,Hogar,Pendiente,1697.1,2022-10-18,2023-05-26
327,5040,Hogar,Activa,1096.88,2025-09-01,2026-07-05
328,5277,Hogar,Cancelada,981.03,2022-11-24,2023-06-29
329,7233,Auto,Pendiente,500.57,2022-05-03,2023-01-28
330,5448,Hogar,Pendiente,-928.48,2024-01-30,2025-01-31
331,11930,Auto,Activa,289.99,2022-09-09,2023-09-15
332,4246,Salud,Activa,343.45,2024-06-03,2025-02-10
333,2157,Hogar,Activa,-2030.4,2024-12-16,2025-08-23
334,3018,Auto,Cancelada,-383.25,2024-05-25,2025-05-26
335,657,Hogar,Activa,-60.09,2024-10-22,2025-09-03
336,10733,Auto,Activa,636.89,2025-01-06,2026-01-25
337,1352,Hogar,Activa,-460.93,2023-04-12,2024-03-08
338,4210,Vida,Expirada,-362.49,2023-04-04,2023-11-09
339,852,Hogar,Pendiente,-837.92,2024-07-07,2025-06-04
340,8300,Salud,Cancelada,2483.26,2023-10-25,2024-09-26
341,4383,Auto,Activa,-1101.36,2025-05-14,2026-01-09
342,9598,Auto,Activa,-1347.31,2024-03-14,2025-04-03
343,3990,Vida,Activa,746.75,2025-04-22,2026-02-24
344,4971,Vida,Activa,-681.74,2024-12-30,2025-09-25
345,2073,Viaje,Activa,-1295.66,2025-02-16,2026-02-01
346,10483,Hogar,Activa,-108.71,2021-12-14,2022-09-08
347,1612,Hogar,Activa,72.82,2022-07-02,2023-06-17
348,4765,Hogar,Activa,629.13,2025-08-31,2026-06-02
349,3394,Auto,Activa,312.88,2025-02-23,2025-12-10
350,5426,Auto,Pendiente,186.21,2025-04-23,2026-05-02
351,1135,Auto,Activa,596.04,2025-06-06,2026-05-09
352,7939,Hogar,Activa,938.41,2025-05-28,2025-12-18
353,6735,Vida,Activa,-471.22,2022-05-21,2023-01-29
354,1837,Hogar,Cancelada,-423.56,2025-08-13,2026-08-01
355,5962,Hogar,Activa,847.39,2024-01-01,2024-11-08
356,5416,Auto,Activa,-175.1,2021-11-21,2022-08-09
357,7722,Auto,Activa,-671.6,2022-03-10,2023-03-01
358,11518,Vida,Activa,-573.17,2025-06-23,2026-06-01
359,8987,Auto,Activa,-1369.65,2023-09-30,2024-05-07
360,11710,Salud,Activa,515.91,2023-12-06,2024-11-04
361,414,Auto,Expirada,1934.82,2022-02-27,2022-11-03
362,393,Hogar,Activa,1061.86,2024-09-12,2025-08-26
363,232,Viaje,Pendiente,-549.85,2021-12-05,2022-12-03
364,7457,Hogar,Activa,-1977.41,2023-08-09,2024-06-24
365,1943,Auto,Activa,-939.2,2022-05-14,2023-05-12
366,10486,Auto,Activa,10.53,2024-03-19,2024-10-17
367,3699,Auto,Activa,887.42,2023-01-28,2023-11-04
368,11841,Auto,Activa,855.58,2023-05-11,2024-03-11
369,1187,Vida,Activa,-317.3,2025-07-03,2026-03-30
370,7086,Vida,Activa,37.72,2025-09-14,2026-06-20
371,886,Vida,Activa,-507.79,2021-11-21,2022-11-15
372,8802,Auto,Activa,-396.33,2022-05-20,2023-01-28
373,8290,Salud,Activa,348.08,2024-12-31,2025-12-31
374,5216,Hogar,Pendiente,-416.6,2023-06-17,2024-04-11
375,9139,Auto,Pendiente,-1151.09,2024-08-16,2025-06-18
376,9875,Auto,Activa,195.75,2025-01-15,2025-12-22
377,6354,Hogar,Expirada,704.38,2024-03-30,2025-01-03
378,1789,Auto,Activa,-379.26,2023-01-12,2023-12-16
379,10750,Auto,Activa,2509.76,2022-12-14,2023-09-17
380,5745,Auto,Activa,14.05,2023-10-01,2024-09-24
381,5347,Hogar,Pendiente,-715.06,2022-10-06,2023-10-30
382,10672,Auto,Cancelada,1919.1,2025-02-12,2025-11-03
383,5233,Auto,Cancelada,1524.51,2023-05-14,2024-01-07
384,7068,Auto,Pendiente,2508.95,2024-08-26,2025-06-24
385,1764,Auto,Activa,65.97,2022-09-21,2023-07-11
386,1894,Auto,Activa,-267.72,2022-12-30,2023-08-10
387,8246,Hogar,Activa,22.77,2022-03-22,2022-12-25
388,5868,Auto,Activa,734.19,2025-07-23,2026-07-26
389,3815,Auto,Expirada,1311.69,2025-05-20,2026-01-16
390,6696,Auto,Cancelada,1121.53,2024-07-19,2025-05-17
391,9465,Auto,Activa,116.95,2023-01-05,2023-09-30
392,2821,Vida,Activa,826.34,2024-10-11,2025-08-30
393,8653,Hogar,Pendiente,-872.33,2022-11-12,2023-09-07
394,8644,Hogar,Activa,-815.14,2024-06-16,2025-03-10
395,1254,Salud,Activa,237.94,2022-02-15,2022-11-09
396,5535,Auto,Cancelada,-2118.27,2021-12-11,2022-09-01
397,3906,Auto,Activa,103.37,2024-12-22,2025-10-31
398,10823,Hogar,Expirada,1060.64,2022-09-27,2023-06-15
399,285,Auto,Pendiente,490.55,2022-08-10,2023-05-24
400,11806,Hogar,Activa,1503.07,2022-10-30,2023-09-09
401,6355,Salud,Activa,-320.07,2024-12-11,2025-09-11
402,8470,Hogar,Activa,-1353.37,2024-10-16,2025-06-30
403,1521,Auto,Activa,-687.85,2022-05-05,2022-12-13
404,2980,Vida,Activa,192.63,2025-05-01,2025-11-27
405,11395,Auto,Cancelada,1787.49,2024-01-24,2024-11-08
406,9785,Vida,Expirada,1995.37,2023-08-25,2024-07-05
407,2917,Auto,Activa,-1907.26,2025-05-18,2025-12-09
408,4112,Auto,Expirada,-118.88,2024-08-19,2025-04-22
409,11763,Auto,Activa,-666.64,2024-12-30,2025-10-08
410,9666,Auto,Expirada,-556.34,2023-08-19,2024-08-08
411,667,Hogar,Expirada,-127.62,2023-10-23,2024-11-19
412,7238,Auto,Pendiente,-664.7,2025-06-16,2026-04-15
413,6502,Auto,Cancelada,694.91,2024-04-02,2024-11-11
414,5823,Auto,Activa,1739.96,2024-07-10,2025-04-17
415,9746,Hogar,Cancelada,1697.85,2022-01-10,2023-02-12
416,11304,Auto,Activa,-689.27,2025-08-05,2026-04-03
417,9029,Vida,Cancelada,-41.23,2023-08-15,2024-03-13
418,4182,Auto,Pendiente,1688.52,2023-08-11,2024-06-10
419,5865,Auto,Pendiente,582.08,2024-07-14,2025-06-04
420,11544,Hogar,Activa,1384.73,2023-11-19,2024-10-22
421,11745,Hogar,Cancelada,731.73,2024-12-24,2026-01-09
422,8332,Viaje,Pendiente,1122.68,2022-11-28,2023-08-04
423,1745,Auto,Cancelada,-393.63,2023-10-26,2024-10-16
424,11836,Salud,Pendiente,-540.54,2023-11-12,2024-08-23
425,354,Hogar,Activa,-1802.61,2024-07-24,2025-04-09
